trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,12,-1.0831888701100432,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-117.06223212362995,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-113.91175548610794,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-153.1953114921456,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-18.14082941868464,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-116.40852354558025,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-63.578823793868786,"{0: 27, 1: 0, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-32.19637643232926,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,5,-96.41447399813235,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-79.2631316459585,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-96.33766382253047,"{0: 27, 1: 2, 2: 2, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-67.56804228777568,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-21.257274738012775,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-58.27722370988652,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-46.30393651105056,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,8,29.155707519919268,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,25.237509734283787,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,9.662472301235773,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,-22.71994030817418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,30.724298453496466,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,36.86933899441681,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,0,-90.82487809768543,"{0: 30, 1: 0, 2: 1, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,6.364568047253123,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,10.284229336328474,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-13.453181830928006,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-15.037104789124745,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,16,-6.856507338101542,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,6,36.66168365366329,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,13.147216022095066,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,16.547556690643383,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
