trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9900498337491681}",25,0,-122.12048494262451,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9801986733067553}",25,0,-180.54428632336294,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.9, 'e': 0.9704455335485082}",20,0,-142.41780519208305,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.9, 'e': 0.9607894391523232}",30,0,-189.7760801047743,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.9, 'e': 0.951229424500714}",30,0,-113.68668532747863,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.9417645335842487}",30,0,-176.3425172508402,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.9, 'e': 0.9323938199059483}",25,0,-95.46565664857171,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9231163463866358}",25,0,-286.7476140700217,"{0: 9, 1: 1, 2: 9, 3: 2, 4: 4}",0
9,False,"{'a': 0.9, 'e': 0.9139311852712282}",30,0,-161.16116085001073,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.9048374180359595}",25,0,-209.94161829603115,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.9, 'e': 0.8958341352965282}",25,0,-100.92483230814275,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.8869204367171575}",30,0,-37.255248025619956,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.8780954309205613}",30,0,-138.01651657826005,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.8693582353988059}",30,0,-227.17903569948427,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
15,False,"{'a': 0.9, 'e': 0.8607079764250578}",35,6,-139.10330446353294,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 2}",1
16,False,"{'a': 0.9, 'e': 0.8521437889662113}",25,0,-38.859959775054556,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.8436648165963837}",30,0,-159.29430446523529,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.9, 'e': 0.835270211411272}",25,0,-157.11768855446172,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
19,False,"{'a': 0.9, 'e': 0.8269591339433623}",20,0,-127.34145144684877,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.8187307530779818}",25,0,-148.71093162171744,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
21,False,"{'a': 0.9, 'e': 0.8105842459701871}",20,0,-120.81244008308339,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
22,False,"{'a': 0.9, 'e': 0.8025187979624785}",20,0,-67.71600730026395,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.794533602503334}",20,0,-113.31784371791613,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.9, 'e': 0.7866278610665535}",20,0,-37.66906281336855,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.9, 'e': 0.7788007830714049}",30,0,-155.90426936014882,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.9, 'e': 0.7710515858035663}",20,0,-132.9801831112405,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.7633794943368531}",20,0,-112.61869102730446,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.7557837414557255}",25,0,-72.8052139359511,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.7482635675785653}",25,9,-18.912968412324965,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.7408182206817179}",30,0,-104.73955244687288,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.9, 'e': 0.7334469562242892}",25,0,-210.1157030124083,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
32,False,"{'a': 0.9, 'e': 0.7261490370736909}",20,0,-68.59546822513323,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.9, 'e': 0.7189237334319262}",25,0,-41.772476736192935,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.9, 'e': 0.7117703227626097}",25,0,-123.3389303884295,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.9, 'e': 0.7046880897187134}",30,0,-198.18967444244953,"{0: 22, 1: 1, 2: 1, 3: 2, 4: 4}",0
36,False,"{'a': 0.9, 'e': 0.697676326071031}",25,0,-171.09302162158644,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.9, 'e': 0.6907343306373547}",20,0,-63.17606118420847,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.6838614092123558}",20,5,-68.40803465331967,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 0}",1
39,False,"{'a': 0.9, 'e': 0.6770568744981647}",25,0,-104.67690973829545,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
40,False,"{'a': 0.9, 'e': 0.6703200460356393}",30,0,-136.31166141621253,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
41,False,"{'a': 0.9, 'e': 0.6636502501363194}",20,0,-39.08863364718082,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.9, 'e': 0.6570468198150567}",20,0,-127.91403243482675,"{0: 9, 1: 1, 2: 7, 3: 3, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.6505090947233165}",20,7,-80.76053421712884,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
44,False,"{'a': 0.9, 'e': 0.6440364210831414}",25,0,-19.5816338217414,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.6376281516217733}",20,11,-9.276828149440902,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.631283645506926}",25,0,-129.65081854348531,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",1
47,False,"{'a': 0.9, 'e': 0.6250022682827008}",20,0,-22.75719722212754,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.6187833918061408}",30,9,-92.97703789939771,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 1}",1
49,False,"{'a': 0.9, 'e': 0.6126263941844161}",20,0,-85.65448578933172,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.9, 'e': 0.6065306597126334}",25,0,-46.06559733219228,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.9, 'e': 0.6004955788122659}",20,0,-13.751174124217181,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.9, 'e': 0.5945205479701944}",25,2,-40.92457172213496,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
53,False,"{'a': 0.9, 'e': 0.5886049696783552}",25,2,-15.427065483701794,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.5827482523739896}",25,2,-38.95368071693395,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.9, 'e': 0.5769498103804866}",25,0,-72.10487144310285,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.9, 'e': 0.5712090638488149}",20,4,-19.4750655838239,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.5655254386995371}",25,0,-60.10792667611317,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.559898366565402}",25,5,-15.082714209647282,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.9, 'e': 0.5543272847345071}",20,0,-44.52768764632104,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.5488116360940265}",25,0,-43.09012133254039,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.9, 'e': 0.5433508690744998}",20,10,-2.3516911139250443,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.5379444375946745}",20,0,-126.02584689323501,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
63,False,"{'a': 0.9, 'e': 0.5325918010068972}",25,1,-88.51822978364194,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 1}",1
