trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9900498337491681}",25,0,-69.62246779166529,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.9801986733067553}",25,0,-69.019301939123,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.9704455335485082}",20,0,-100.49298827075523,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.9607894391523232}",20,0,-102.73792171328135,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.951229424500714}",35,0,-256.14519776823005,"{0: 19, 1: 1, 2: 10, 3: 1, 4: 4}",0
6,False,"{'a': 0.7, 'e': 0.9417645335842487}",30,0,-155.60617163350395,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.9323938199059483}",20,3,-41.29905415777693,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.7, 'e': 0.9231163463866358}",20,0,-113.7489481756596,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9139311852712282}",20,0,-96.89615977387095,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9048374180359595}",25,0,-64.2479585375634,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.8958341352965282}",35,0,-224.2928989104116,"{0: 18, 1: 2, 2: 11, 3: 2, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.8869204367171575}",20,15,-13.185597920702245,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.8780954309205613}",25,0,-157.14225152215167,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.8693582353988059}",30,0,-115.52460047128206,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.8607079764250578}",25,10,-12.763040619310571,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.8521437889662113}",30,0,-24.080248807405905,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.8436648165963837}",20,0,-26.457153941061687,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.835270211411272}",20,0,-73.02380283216449,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.8269591339433623}",25,10,-57.34256313914343,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.7, 'e': 0.8187307530779818}",20,0,-104.04661268993856,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
