trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-188.8148817500698,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-171.97738682145035,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-102.14970605858483,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-178.07626623146368,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-153.81766873724433,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-127.50593311319864,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-113.9407367599806,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-41.79665343500795,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,20,14.435833325045987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-107.73331353376437,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",35,0,-157.6647871340199,"{0: 24, 1: 4, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-109.19549833779584,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,8,-56.72424652033096,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-98.4437951209093,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-74.41057705025075,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,0,-212.1839334392845,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,11,-33.93972462934995,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-110.30874024049396,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,6,-59.837584717840876,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,15,-122.214530135787,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 3}",1
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-39.48468123176003,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,4,-30.9929305222283,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,2,-69.70364279970441,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
