trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9900498337491681}",20,0,-59.99854377069853,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9801986733067553}",25,0,-128.8349877735294,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9704455335485082}",20,0,-53.18369538620224,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.9607894391523232}",25,0,-132.4843830355239,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.951229424500714}",25,0,-140.41055166177676,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.9417645335842487}",25,0,-10.271946110187498,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.9323938199059483}",25,0,-113.975691195173,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.9231163463866358}",25,0,-106.76054723731272,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.9139311852712282}",20,0,-150.54216187840663,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.9048374180359595}",25,11,-18.62069527043337,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.3, 'e': 0.8958341352965282}",25,0,-146.95249396244998,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.8869204367171575}",25,0,-92.9100809370133,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
