trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9900498337491681}",20,2,-96.32673584979078,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 2}",1
2,False,"{'a': 0.9, 'e': 0.9801986733067553}",30,0,-260.2059295820223,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
3,False,"{'a': 0.9, 'e': 0.9704455335485082}",30,12,-96.88003346144798,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.9, 'e': 0.9607894391523232}",25,0,-224.21697823223468,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.9, 'e': 0.951229424500714}",25,0,-69.94728360854717,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.9417645335842487}",25,0,-176.64748595443044,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9323938199059483}",25,0,-95.85173849908858,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9231163463866358}",20,0,-101.72530531734934,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9139311852712282}",20,0,-79.94814847138133,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.9048374180359595}",20,0,-23.084291306647508,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.8958341352965282}",20,0,-21.55484967708008,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.8869204367171575}",20,0,-104.22792018589803,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
13,False,"{'a': 0.9, 'e': 0.8780954309205613}",25,0,-122.65462585878024,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.8693582353988059}",20,0,-107.73631729268133,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.8607079764250578}",20,0,-100.0720189919992,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.8521437889662113}",20,0,-61.60096291538168,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.8436648165963837}",30,0,-37.09412733876304,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.9, 'e': 0.835270211411272}",20,0,-77.94728748588457,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.8269591339433623}",25,2,-73.31706809532054,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 1}",1
20,False,"{'a': 0.9, 'e': 0.8187307530779818}",20,0,-90.7743464388209,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.8105842459701871}",25,0,-159.1322805697988,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.9, 'e': 0.8025187979624785}",25,0,-46.4717761484086,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.794533602503334}",20,0,-32.748055254709044,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.7866278610665535}",25,0,-101.84987914552735,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.9, 'e': 0.7788007830714049}",20,0,-126.73974457125715,"{0: 9, 1: 0, 2: 8, 3: 3, 4: 0}",0
26,False,"{'a': 0.9, 'e': 0.7710515858035663}",30,0,-117.58450114428832,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.7633794943368531}",25,3,-11.197966760926636,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.7557837414557255}",20,0,-33.47002941228098,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.7482635675785653}",25,0,-169.27278394340794,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
30,False,"{'a': 0.9, 'e': 0.7408182206817179}",25,0,-183.42118476244926,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
31,False,"{'a': 0.9, 'e': 0.7334469562242892}",20,0,-113.81520693828931,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
32,False,"{'a': 0.9, 'e': 0.7261490370736909}",25,0,-134.83678437254974,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.9, 'e': 0.7189237334319262}",30,0,-129.1759032159775,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
34,False,"{'a': 0.9, 'e': 0.7117703227626097}",20,0,-42.098560005603986,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.7046880897187134}",20,0,-187.78115781503604,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
36,False,"{'a': 0.9, 'e': 0.697676326071031}",20,0,-123.61762456547245,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
37,False,"{'a': 0.9, 'e': 0.6907343306373547}",20,0,-144.85924564944148,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.9, 'e': 0.6838614092123558}",20,2,-58.32481100521203,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.9, 'e': 0.6770568744981647}",20,0,-68.73681830297747,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
40,False,"{'a': 0.9, 'e': 0.6703200460356393}",20,0,-34.16130029273609,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.9, 'e': 0.6636502501363194}",20,0,-55.055973771225496,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.6570468198150567}",20,0,-88.86864237693908,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.9, 'e': 0.6505090947233165}",20,3,3.8033186658561795,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
