trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9900498337491681}",25,0,-113.88583454266157,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.9801986733067553}",25,0,-214.74072230423522,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
3,False,"{'a': 0.7, 'e': 0.9704455335485082}",20,0,-116.86544076599343,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.9607894391523232}",20,0,-108.16205845792187,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.951229424500714}",25,0,-75.90133848653362,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.9417645335842487}",30,0,-187.7819389783338,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.9323938199059483}",25,0,-156.66265095162112,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9231163463866358}",25,0,-153.87137969423335,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.9139311852712282}",20,0,-68.54660606796065,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9048374180359595}",30,0,-172.97990347800982,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.8958341352965282}",25,0,-151.81474837344174,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.8869204367171575}",20,0,-169.60955343277038,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
13,False,"{'a': 0.7, 'e': 0.8780954309205613}",25,0,-78.27585829082847,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.8693582353988059}",20,0,-34.87427632666282,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.8607079764250578}",25,0,-86.35404964057079,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.8521437889662113}",25,0,-47.60233217508635,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.8436648165963837}",35,0,-162.54735526872383,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
18,False,"{'a': 0.7, 'e': 0.835270211411272}",20,0,-14.179319950412431,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.8269591339433623}",25,1,-195.58107085319256,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 4}",1
20,False,"{'a': 0.7, 'e': 0.8187307530779818}",25,0,-159.650543289366,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
21,False,"{'a': 0.7, 'e': 0.8105842459701871}",30,0,-139.8862190499916,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
22,False,"{'a': 0.7, 'e': 0.8025187979624785}",20,8,-64.75231613625984,"{0: 6, 1: 1, 2: 3, 3: 2, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.794533602503334}",30,0,-89.77606762593592,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.7866278610665535}",20,8,-3.743628764069932,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.7788007830714049}",30,0,-132.61750593286587,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.7, 'e': 0.7710515858035663}",20,0,-60.944332660878295,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.7633794943368531}",20,0,-123.99789732800886,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.7557837414557255}",20,0,-8.51283740563489,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.7482635675785653}",20,0,-139.34259333775412,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.7, 'e': 0.7408182206817179}",20,0,-67.98298557854896,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.7334469562242892}",25,0,-89.70977524688074,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.7261490370736909}",20,8,-18.201527632831585,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.7189237334319262}",25,0,-136.42575534263955,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
34,False,"{'a': 0.7, 'e': 0.7117703227626097}",20,0,-71.33518411701934,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.7046880897187134}",25,0,-84.48337333570217,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.697676326071031}",20,0,-0.8479251601363851,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.6907343306373547}",25,0,-150.72525857335677,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
38,False,"{'a': 0.7, 'e': 0.6838614092123558}",20,0,-106.77905485333198,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
39,False,"{'a': 0.7, 'e': 0.6770568744981647}",25,0,-170.3326330360849,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
40,False,"{'a': 0.7, 'e': 0.6703200460356393}",25,12,-83.57801262498313,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
41,False,"{'a': 0.7, 'e': 0.6636502501363194}",20,2,-73.56614526665528,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
42,False,"{'a': 0.7, 'e': 0.6570468198150567}",35,16,-138.21709909214613,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 3}",1
43,False,"{'a': 0.7, 'e': 0.6505090947233165}",25,0,-95.50116676488499,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.7, 'e': 0.6440364210831414}",30,3,-6.209837325062162,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.6376281516217733}",20,0,-42.98861851736063,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.631283645506926}",25,2,-6.65091862853359,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.6250022682827008}",25,0,-63.849162454762016,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
48,False,"{'a': 0.7, 'e': 0.6187833918061408}",20,0,-77.32123022630563,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
49,False,"{'a': 0.7, 'e': 0.6126263941844161}",20,0,-41.35666840480274,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.7, 'e': 0.6065306597126334}",20,0,-144.152819533573,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
51,False,"{'a': 0.7, 'e': 0.6004955788122659}",20,6,1.7407984921354092,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.5945205479701944}",20,0,-73.82836416205556,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
53,False,"{'a': 0.7, 'e': 0.5886049696783552}",25,3,-78.76924559052966,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 2}",1
54,False,"{'a': 0.7, 'e': 0.5827482523739896}",20,0,-49.81400722076024,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.5769498103804866}",25,0,-17.131855220442244,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.7, 'e': 0.5712090638488149}",20,0,-60.412458029712084,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.5655254386995371}",20,0,-26.269907312018304,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.559898366565402}",25,0,-46.58582745590486,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
59,False,"{'a': 0.7, 'e': 0.5543272847345071}",20,0,-3.0067969630268223,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
60,False,"{'a': 0.7, 'e': 0.5488116360940265}",25,0,-75.07002226686741,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.7, 'e': 0.5433508690744998}",25,0,-64.32397589254415,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.7, 'e': 0.5379444375946745}",35,24,-2.049792719440803,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.5325918010068972}",20,11,-45.05032405691472,"{0: 5, 1: 1, 2: 1, 3: 2, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.5272924240430485}",30,2,-97.35167053105775,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 2}",1
65,False,"{'a': 0.7, 'e': 0.522045776761016}",25,12,19.270720550420407,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.5168513344916992}",30,18,-17.088557111767702,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.5117085777865424}",25,17,10.653704615309856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.5066169923655895}",20,0,-51.55829438495114,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
69,False,"{'a': 0.7, 'e': 0.5015760690660555}",35,17,11.697295829692294,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.49658530379140947}",30,16,-16.830484182067288,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.7, 'e': 0.4916441974609651}",25,0,-58.502061412480195,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
72,False,"{'a': 0.7, 'e': 0.4867522559599717}",25,0,-6.591984150270123,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.48190899009020244}",25,4,-37.838861502051785,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
74,False,"{'a': 0.7, 'e': 0.4771139155210344}",30,0,-12.516583754799438,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.7, 'e': 0.4723665527410147}",25,0,8.422121173398267,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.46766642700990924}",30,14,-57.97782867519239,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
77,False,"{'a': 0.7, 'e': 0.46301306831122807}",20,1,-2.8800763742542244,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.4584060113052235}",20,6,-42.92291128116507,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.7, 'e': 0.45384479528235583}",25,0,-8.404632627326837,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.44932896411722156}",20,5,5.9573509868857055,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.4448580662229411}",20,0,-2.9179335393812478,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.44043165450599925}",30,0,3.9701385825189828,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.43604928632153556}",20,0,-83.67287689844538,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
84,False,"{'a': 0.7, 'e': 0.43171052342907973}",30,20,18.87432865987822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.4274149319487267}",30,2,-18.570392607872,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.7, 'e': 0.4231620823177488}",25,13,10.876298167688184,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.418951549247639}",25,2,-128.79718106970103,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
88,False,"{'a': 0.7, 'e': 0.4147829116815814}",20,0,-30.27131186591473,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.7, 'e': 0.4106557527523455}",20,0,-29.68464797631073,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.7, 'e': 0.4065696597405991}",20,0,-17.386558963895183,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.7, 'e': 0.40252422403363597}",35,21,-20.423688228836976,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.7, 'e': 0.39851904108451414}",20,15,8.159143655904561,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.3945537103716011}",30,15,-12.502217279305523,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.3906278353585211}",20,4,14.75002086695999,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.3867410234545012}",25,9,-3.568545632222879,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.38289288597511206}",20,0,-25.40873465653626,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
97,False,"{'a': 0.7, 'e': 0.37908303810339883}",30,0,-53.95644819352749,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.7, 'e': 0.37531109885139957}",20,0,28.595165924628482,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.7, 'e': 0.3715766910220457}",25,13,-3.531446823229194,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.36787944117144233}",25,12,-53.45768120134402,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.7, 'e': 0.3642189795715233}",25,1,-64.9586235128471,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.3605949401730783}",30,13,-5.89301732441672,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.3570069605691474}",20,6,-30.388160371999128,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.7, 'e': 0.35345468195878016}",25,0,-66.07159807356706,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
105,False,"{'a': 0.7, 'e': 0.3499377491111553}",20,0,-52.66195150666691,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.7, 'e': 0.3464558103300574}",25,0,-86.49210963787144,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.7, 'e': 0.34300851741870664}",20,0,-28.255715809502483,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
108,False,"{'a': 0.7, 'e': 0.3395955256449391}",25,14,21.83542268666729,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.33621649370673334}",20,3,-98.79577594704047,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
110,False,"{'a': 0.7, 'e': 0.33287108369807955}",25,9,0.997636275126569,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.32955896107518906}",25,10,13.993234742292795,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.32627979462303947}",20,0,-8.168609396587716,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.7, 'e': 0.3230332564222529}",20,12,16.815766168285304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.31981902181630384}",25,7,30.72211217164063,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.31663676937905316}",30,15,22.770469978033955,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.3134861808826053}",20,6,14.82976574220006,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.31036694126548503}",20,1,4.500010421793894,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.30727873860113125}",20,4,-11.332739117373935,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.3042212640667041}",20,6,-47.38031012026808,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
120,False,"{'a': 0.7, 'e': 0.30119421191220214}",20,0,-52.55288697876096,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
121,False,"{'a': 0.7, 'e': 0.2981972794298874}",25,0,-2.2546595260741924,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.7, 'e': 0.2952301669240142}",25,11,0.3216601926566567,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.2922925776808594}",25,11,9.686227570001947,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.2893842179390506}",20,11,-35.35317652649061,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.7, 'e': 0.2865047968601901}",20,0,-16.909293360592166,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
126,False,"{'a': 0.7, 'e': 0.2836540264997704}",20,12,14.467821532162795,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.2808316217783798}",20,10,13.411124909621092,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.27803730045319414}",25,12,-19.89880450546854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.7, 'e': 0.27527078308975234}",25,0,-68.46593845033966,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
130,False,"{'a': 0.7, 'e': 0.2725317930340126}",20,9,-32.98963401567709,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.7, 'e': 0.2698200563846868}",20,12,-27.667660367871306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.7, 'e': 0.26713530196585034}",30,19,16.229861270196842,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.26447726129982396}",20,10,-24.465240632141622,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.7, 'e': 0.261845668580326}",20,9,-10.988753602362403,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.2592402606458915}",35,18,-3.160039083917092,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2566607769535559}",25,4,-45.83346240437837,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
137,False,"{'a': 0.7, 'e': 0.25410695955280027}",25,0,26.419153064602042,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.7, 'e': 0.25157855305975646}",30,15,-25.741620386559763,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.7, 'e': 0.24907530463166816}",25,8,32.348024249241696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.24659696394160643}",20,0,-18.407225896906713,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
141,False,"{'a': 0.7, 'e': 0.2441432831534371}",25,0,-16.51321362510668,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
142,False,"{'a': 0.7, 'e': 0.24171401689703645}",25,0,-33.68782054906519,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.7, 'e': 0.23930892224375455}",25,0,21.047002466042628,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.7, 'e': 0.23692775868212176}",20,8,13.661148615440217,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.23457028809379765}",30,3,14.581241825220587,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.23223627472975883}",20,0,22.780777512307978,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
