trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.40551750729435,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.99702493246136,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.42586466557029,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-198.30425974995714,"{0: 19, 1: 3, 2: 2, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.3114035148703,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,3,-107.1557712744626,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-16.131018392013377,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.72010407242144,"{0: 18, 1: 4, 2: 3, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.27408324190275,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.15065532827208,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-172.5061539468023,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.05044369278497,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.43128848470912,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.66353412436422,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.047980208895446,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,10,-15.664058881783278,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.23353808170532,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.58277808597626,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.69957884324196,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.71387978666539,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.94810812654234,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.12402034284418,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.06898505282523,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.01005146381455,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.3479836412637,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.42628503116845,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-304.8545763197103,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 7}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,3,-34.06959411332937,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.7420040950348,"{0: 6, 1: 5, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-140.65475371137035,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
